shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B10062,40.578199,-73.939761,10001
B10062,40.578252,-73.939799,10002
B10062,40.578352,-73.939819,10003
B10062,40.578329,-73.940025,10004
B10062,40.578329,-73.940025,20001
B10062,40.578252,-73.940719,20002
B10062,40.578142,-73.941669,20003
B10062,40.578042,-73.942579,20004
B10062,40.577996,-73.943016,20005
B10062,40.577996,-73.943016,30001
B10062,40.577942,-73.943529,30002
B10062,40.577912,-73.943769,30003
B10062,40.577842,-73.944479,30004
B10062,40.577824,-73.944625,30005
B10062,40.577824,-73.944625,40001
B10062,40.577792,-73.944889,40002
B10062,40.577742,-73.945369,40003
B10062,40.577644,-73.946185,40004
B10062,40.577644,-73.946185,50001
B10062,40.577632,-73.946289,50002
B10062,40.577522,-73.947269,50003
B10062,40.577422,-73.948259,50004
B10062,40.577312,-73.949189,50005
B10062,40.577277,-73.949539,50006
B10062,40.577277,-73.949539,60001
B10062,40.577222,-73.950099,60002
B10062,40.577122,-73.951009,60003
B10062,40.577085,-73.951378,60004
B10062,40.577085,-73.951378,70001
B10062,40.577032,-73.951919,70002
B10062,40.576938,-73.952711,70003
B10062,40.576938,-73.952711,80001
B10062,40.576932,-73.952759,80002
B10062,40.576872,-73.952889,80003
B10062,40.576752,-73.953559,80004
B10062,40.577412,-73.953699,80005
B10062,40.577442,-73.953739,80006
B10062,40.577402,-73.953999,80007
B10062,40.577341,-73.954396,80008
B10062,40.577341,-73.954396,90001
B10062,40.577322,-73.954519,90002
B10062,40.577322,-73.954659,90003
B10062,40.577352,-73.954799,90004
B10062,40.577482,-73.955219,90005
B10062,40.577662,-73.955789,90006
B10062,40.577742,-73.956029,90007
B10062,40.577863,-73.956429,90008
B10062,40.577863,-73.956429,100001
B10062,40.577932,-73.956659,100002
B10062,40.577992,-73.956879,100003
B10062,40.578002,-73.956919,100004
B10062,40.578242,-73.957769,100005
B10062,40.578262,-73.957979,100006
B10062,40.578252,-73.958159,100007
B10062,40.578252,-73.958173,100008
B10062,40.578252,-73.958173,110001
B10062,40.578252,-73.958259,110002
B10062,40.578182,-73.958709,110003
B10062,40.578122,-73.958959,110004
B10062,40.578102,-73.959039,110005
B10062,40.577962,-73.959629,110006
B10062,40.578012,-73.959909,110007
B10062,40.577912,-73.960222,110008
B10062,40.577912,-73.960222,120001
B10062,40.577802,-73.960569,120002
B10062,40.577602,-73.961469,120003
B10062,40.577402,-73.962389,120004
B10062,40.577314,-73.962804,120005
B10062,40.577314,-73.962804,130001
