shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q060383,40.707655,-73.792049,10001
Q060383,40.707889,-73.791364,10002
Q060383,40.707731,-73.791273,10003
Q060383,40.707530,-73.791153,10004
Q060383,40.706946,-73.790814,10005
Q060383,40.706928,-73.790802,10006
Q060383,40.706801,-73.791259,10007
Q060383,40.706732,-73.791474,10008
Q060383,40.706703,-73.791587,10009
Q060383,40.706429,-73.792504,10010
Q060383,40.706383,-73.792636,10011
Q060383,40.706366,-73.792687,10012
Q060383,40.706309,-73.792853,10013
Q060383,40.705889,-73.793990,10014
Q060383,40.705799,-73.794210,10015
Q060383,40.705747,-73.794250,10016
Q060383,40.705495,-73.794872,10017
Q060383,40.705269,-73.795467,10018
Q060383,40.705269,-73.795467,20001
Q060383,40.705185,-73.795687,20002
Q060383,40.704719,-73.796792,20003
Q060383,40.704632,-73.797000,20004
Q060383,40.704582,-73.797128,20005
Q060383,40.704585,-73.797254,20006
Q060383,40.704402,-73.797727,20007
Q060383,40.704287,-73.798016,20008
Q060383,40.704065,-73.798569,20009
Q060383,40.703821,-73.799184,20010
Q060383,40.703673,-73.799541,20011
Q060383,40.703673,-73.799541,30001
Q060383,40.703590,-73.799741,30002
Q060383,40.703523,-73.799929,30003
Q060383,40.703444,-73.800006,30004
Q060383,40.703375,-73.800201,30005
Q060383,40.703022,-73.801420,30006
Q060383,40.702762,-73.802274,30007
Q060383,40.702400,-73.803607,30008
Q060383,40.702223,-73.804257,30009
Q060383,40.702223,-73.804257,40001
Q060383,40.702174,-73.804441,40002
Q060383,40.701955,-73.805242,40003
Q060383,40.701895,-73.805517,40004
Q060383,40.701869,-73.805703,40005
Q060383,40.701825,-73.806112,40006
Q060383,40.701817,-73.806316,40007
Q060383,40.701791,-73.806910,40008
Q060383,40.701791,-73.807426,40009
Q060383,40.701784,-73.807745,40010
Q060383,40.701786,-73.807939,40011
Q060383,40.701703,-73.807948,40012
Q060383,40.701554,-73.807946,40013
Q060383,40.701218,-73.807886,40014
