shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010151,40.701971,-73.807973,10001
Q010151,40.703012,-73.808429,10002
Q010151,40.703812,-73.808769,10003
Q010151,40.703842,-73.808779,10004
Q010151,40.704852,-73.809249,10005
Q010151,40.705192,-73.809419,10006
Q010151,40.705663,-73.809654,10007
Q010151,40.705663,-73.809654,20001
Q010151,40.705692,-73.809669,20002
Q010151,40.705722,-73.809679,20003
Q010151,40.705942,-73.808989,20004
Q010151,40.706082,-73.808499,20005
Q010151,40.706622,-73.806569,20006
Q010151,40.707212,-73.804499,20007
Q010151,40.707702,-73.802769,20008
Q010151,40.707732,-73.802659,20009
Q010151,40.707756,-73.802573,20010
Q010151,40.707756,-73.802573,30001
Q010151,40.707912,-73.802029,30002
Q010151,40.707962,-73.801859,30003
Q010151,40.708192,-73.801039,30004
Q010151,40.708432,-73.800199,30005
Q010151,40.708612,-73.799549,30006
Q010151,40.708647,-73.799417,30007
Q010151,40.708647,-73.799417,40001
Q010151,40.708672,-73.799329,40002
Q010151,40.708782,-73.798949,40003
Q010151,40.708852,-73.798699,40004
Q010151,40.709002,-73.798169,40005
Q010151,40.709122,-73.797769,40006
Q010151,40.709262,-73.797309,40007
Q010151,40.709382,-73.796859,40008
Q010151,40.709512,-73.796399,40009
Q010151,40.709742,-73.795559,40010
Q010151,40.709872,-73.795139,40011
Q010151,40.709992,-73.794749,40012
Q010151,40.710102,-73.794459,40013
Q010151,40.710309,-73.793976,40014
Q010151,40.710309,-73.793976,50001
Q010151,40.710342,-73.793899,50002
Q010151,40.710512,-73.793479,50003
Q010151,40.710702,-73.793039,50004
Q010151,40.710932,-73.792429,50005
Q010151,40.711072,-73.792039,50006
Q010151,40.711442,-73.791019,50007
Q010151,40.711479,-73.790909,50008
Q010151,40.711479,-73.790909,60001
Q010151,40.711712,-73.790229,60002
Q010151,40.711852,-73.789799,60003
Q010151,40.711982,-73.789399,60004
Q010151,40.712012,-73.789299,60005
Q010151,40.712042,-73.789159,60006
Q010151,40.712062,-73.788989,60007
Q010151,40.712052,-73.788779,60008
Q010151,40.712022,-73.788639,60009
Q010151,40.711982,-73.788449,60010
Q010151,40.711912,-73.788269,60011
Q010151,40.711842,-73.788099,60012
Q010151,40.711812,-73.788009,60013
Q010151,40.711792,-73.787889,60014
Q010151,40.711772,-73.787639,60015
Q010151,40.711782,-73.787369,60016
Q010151,40.711812,-73.787189,60017
Q010151,40.711862,-73.786989,60018
Q010151,40.712062,-73.786169,60019
Q010151,40.712272,-73.785339,60020
Q010151,40.712482,-73.784469,60021
Q010151,40.712564,-73.784095,60022
Q010151,40.712564,-73.784095,70001
Q010151,40.712682,-73.783559,70002
Q010151,40.712832,-73.783009,70003
Q010151,40.712922,-73.782669,70004
Q010151,40.712982,-73.782439,70005
Q010151,40.713022,-73.782289,70006
Q010151,40.713112,-73.781979,70007
Q010151,40.713162,-73.781799,70008
Q010151,40.713452,-73.780599,70009
Q010151,40.713472,-73.780519,70010
Q010151,40.713662,-73.779729,70011
Q010151,40.713862,-73.778879,70012
Q010151,40.714042,-73.778009,70013
Q010151,40.714121,-73.777656,70014
Q010151,40.714121,-73.777656,80001
Q010151,40.714242,-73.777119,80002
Q010151,40.714462,-73.776209,80003
Q010151,40.714592,-73.775709,80004
Q010151,40.714682,-73.775299,80005
Q010151,40.714902,-73.774429,80006
Q010151,40.715022,-73.773939,80007
Q010151,40.715112,-73.773549,80008
Q010151,40.715350,-73.772851,80009
Q010151,40.715350,-73.772851,90001
Q010151,40.715382,-73.772759,90002
Q010151,40.715682,-73.771909,90003
Q010151,40.715962,-73.771089,90004
Q010151,40.716002,-73.770989,90005
Q010151,40.716322,-73.770089,90006
Q010151,40.716622,-73.769219,90007
Q010151,40.716662,-73.769089,90008
Q010151,40.716798,-73.768715,90009
Q010151,40.716798,-73.768715,100001
Q010151,40.716812,-73.768679,100002
Q010151,40.716972,-73.768199,100003
Q010151,40.717282,-73.767309,100004
Q010151,40.717352,-73.767169,100005
Q010151,40.717632,-73.766659,100006
Q010151,40.718342,-73.765419,100007
Q010151,40.718892,-73.764479,100008
Q010151,40.719223,-73.763749,100009
Q010151,40.719223,-73.763749,110001
Q010151,40.719282,-73.763619,110002
Q010151,40.719642,-73.762789,110003
Q010151,40.719822,-73.762389,110004
Q010151,40.720002,-73.761979,110005
Q010151,40.720332,-73.761139,110006
Q010151,40.720642,-73.760289,110007
Q010151,40.720722,-73.760089,110008
Q010151,40.720902,-73.759689,110009
Q010151,40.720966,-73.759580,110010
Q010151,40.720966,-73.759580,120001
Q010151,40.721062,-73.759419,120002
Q010151,40.721572,-73.758669,120003
Q010151,40.722012,-73.758009,120004
Q010151,40.722052,-73.757959,120005
Q010151,40.722512,-73.757349,120006
Q010151,40.722572,-73.757269,120007
Q010151,40.723072,-73.756549,120008
Q010151,40.723622,-73.755769,120009
Q010151,40.724132,-73.754999,120010
Q010151,40.724182,-73.754909,120011
Q010151,40.724232,-73.754839,120012
Q010151,40.724692,-73.754109,120013
Q010151,40.724902,-73.753756,120014
Q010151,40.724902,-73.753756,130001
Q010151,40.724972,-73.753639,130002
Q010151,40.725142,-73.753359,130003
Q010151,40.725362,-73.752979,130004
Q010151,40.725572,-73.752609,130005
Q010151,40.726002,-73.751749,130006
Q010151,40.726422,-73.750849,130007
Q010151,40.726812,-73.750029,130008
Q010151,40.727192,-73.749209,130009
Q010151,40.727294,-73.749000,130010
Q010151,40.727294,-73.749000,140001
Q010151,40.727562,-73.748449,140002
Q010151,40.727622,-73.748329,140003
Q010151,40.727792,-73.748029,140004
Q010151,40.728022,-73.747639,140005
Q010151,40.728352,-73.747089,140006
Q010151,40.728352,-73.747009,140007
Q010151,40.728372,-73.746959,140008
Q010151,40.728442,-73.746849,140009
Q010151,40.728642,-73.746479,140010
Q010151,40.728942,-73.746109,140011
Q010151,40.729182,-73.745789,140012
Q010151,40.729332,-73.745549,140013
Q010151,40.729552,-73.745209,140014
Q010151,40.729652,-73.745039,140015
Q010151,40.729762,-73.744859,140016
Q010151,40.729812,-73.744799,140017
Q010151,40.729902,-73.744789,140018
Q010151,40.730229,-73.745140,140019
Q010191,40.701971,-73.807973,10001
Q010191,40.703012,-73.808429,10002
Q010191,40.703812,-73.808769,10003
Q010191,40.703842,-73.808779,10004
Q010191,40.704852,-73.809249,10005
Q010191,40.705192,-73.809419,10006
Q010191,40.705663,-73.809654,10007
Q010191,40.705663,-73.809654,20001
Q010191,40.705692,-73.809669,20002
Q010191,40.705722,-73.809679,20003
Q010191,40.705942,-73.808989,20004
Q010191,40.706082,-73.808499,20005
Q010191,40.706622,-73.806569,20006
Q010191,40.707212,-73.804499,20007
Q010191,40.707702,-73.802769,20008
Q010191,40.707732,-73.802659,20009
Q010191,40.707756,-73.802573,20010
Q010191,40.707756,-73.802573,30001
Q010191,40.707912,-73.802029,30002
Q010191,40.707962,-73.801859,30003
Q010191,40.708192,-73.801039,30004
Q010191,40.708432,-73.800199,30005
Q010191,40.708612,-73.799549,30006
Q010191,40.708647,-73.799417,30007
Q010191,40.708647,-73.799417,40001
Q010191,40.708672,-73.799329,40002
Q010191,40.708782,-73.798949,40003
Q010191,40.708852,-73.798699,40004
Q010191,40.709002,-73.798169,40005
Q010191,40.709122,-73.797769,40006
Q010191,40.709262,-73.797309,40007
Q010191,40.709382,-73.796859,40008
Q010191,40.709512,-73.796399,40009
Q010191,40.709742,-73.795559,40010
Q010191,40.709872,-73.795139,40011
Q010191,40.709992,-73.794749,40012
Q010191,40.710102,-73.794459,40013
Q010191,40.710309,-73.793976,40014
Q010191,40.710309,-73.793976,50001
Q010191,40.710342,-73.793899,50002
Q010191,40.710512,-73.793479,50003
Q010191,40.710702,-73.793039,50004
Q010191,40.710932,-73.792429,50005
Q010191,40.711072,-73.792039,50006
Q010191,40.711442,-73.791019,50007
Q010191,40.711479,-73.790909,50008
Q010191,40.711479,-73.790909,60001
Q010191,40.711712,-73.790229,60002
Q010191,40.711852,-73.789799,60003
Q010191,40.711982,-73.789399,60004
Q010191,40.712012,-73.789299,60005
Q010191,40.712042,-73.789159,60006
Q010191,40.712062,-73.788989,60007
Q010191,40.712052,-73.788779,60008
Q010191,40.712022,-73.788639,60009
Q010191,40.711982,-73.788449,60010
Q010191,40.711912,-73.788269,60011
Q010191,40.711842,-73.788099,60012
Q010191,40.711812,-73.788009,60013
Q010191,40.711792,-73.787889,60014
Q010191,40.711772,-73.787639,60015
Q010191,40.711782,-73.787369,60016
Q010191,40.711812,-73.787189,60017
Q010191,40.711862,-73.786989,60018
Q010191,40.712062,-73.786169,60019
Q010191,40.712272,-73.785339,60020
Q010191,40.712482,-73.784469,60021
Q010191,40.712564,-73.784095,60022
Q010191,40.712564,-73.784095,70001
Q010191,40.712682,-73.783559,70002
Q010191,40.712832,-73.783009,70003
Q010191,40.712922,-73.782669,70004
Q010191,40.712982,-73.782439,70005
Q010191,40.713022,-73.782289,70006
Q010191,40.713112,-73.781979,70007
Q010191,40.713162,-73.781799,70008
Q010191,40.713452,-73.780599,70009
Q010191,40.713472,-73.780519,70010
Q010191,40.713662,-73.779729,70011
Q010191,40.713862,-73.778879,70012
Q010191,40.714042,-73.778009,70013
Q010191,40.714121,-73.777656,70014
Q010191,40.714121,-73.777656,80001
Q010191,40.714242,-73.777119,80002
Q010191,40.714462,-73.776209,80003
Q010191,40.714592,-73.775709,80004
Q010191,40.714682,-73.775299,80005
Q010191,40.714902,-73.774429,80006
Q010191,40.715022,-73.773939,80007
Q010191,40.715112,-73.773549,80008
Q010191,40.715350,-73.772851,80009
Q010191,40.715350,-73.772851,90001
Q010191,40.715382,-73.772759,90002
Q010191,40.715682,-73.771909,90003
Q010191,40.715962,-73.771089,90004
Q010191,40.716002,-73.770989,90005
Q010191,40.716322,-73.770089,90006
Q010191,40.716622,-73.769219,90007
Q010191,40.716662,-73.769089,90008
Q010191,40.716798,-73.768715,90009
Q010191,40.716798,-73.768715,100001
Q010191,40.716812,-73.768679,100002
Q010191,40.716972,-73.768199,100003
Q010191,40.717282,-73.767309,100004
Q010191,40.717352,-73.767169,100005
Q010191,40.717632,-73.766659,100006
Q010191,40.718342,-73.765419,100007
Q010191,40.718892,-73.764479,100008
Q010191,40.719223,-73.763749,100009
Q010191,40.719223,-73.763749,110001
Q010191,40.719282,-73.763619,110002
Q010191,40.719642,-73.762789,110003
Q010191,40.719822,-73.762389,110004
Q010191,40.720002,-73.761979,110005
Q010191,40.720332,-73.761139,110006
Q010191,40.720642,-73.760289,110007
Q010191,40.720722,-73.760089,110008
Q010191,40.720902,-73.759689,110009
Q010191,40.720966,-73.759580,110010
Q010191,40.720966,-73.759580,120001
Q010191,40.721062,-73.759419,120002
Q010191,40.721572,-73.758669,120003
Q010191,40.722012,-73.758009,120004
Q010191,40.722052,-73.757959,120005
Q010191,40.722512,-73.757349,120006
Q010191,40.722572,-73.757269,120007
Q010191,40.723072,-73.756549,120008
Q010191,40.723622,-73.755769,120009
Q010191,40.724132,-73.754999,120010
Q010191,40.724182,-73.754909,120011
Q010191,40.724232,-73.754839,120012
Q010191,40.724692,-73.754109,120013
Q010191,40.724902,-73.753756,120014
Q010191,40.724902,-73.753756,130001
Q010191,40.724972,-73.753639,130002
Q010191,40.725142,-73.753359,130003
Q010191,40.725362,-73.752979,130004
