shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
S400038,40.643339,-74.074111,10001
S400038,40.643264,-74.074327,10002
S400038,40.643399,-74.074410,10003
S400038,40.643332,-74.074579,10004
S400038,40.643172,-74.074819,10005
S400038,40.643012,-74.074989,10006
S400038,40.642882,-74.075129,10007
S400038,40.642822,-74.075319,10008
S400038,40.642822,-74.075419,10009
S400038,40.642862,-74.075629,10010
S400038,40.643210,-74.075901,10011
S400038,40.643210,-74.075901,20001
S400038,40.643502,-74.076129,20002
S400038,40.644462,-74.076849,20003
S400038,40.644736,-74.077059,20004
S400038,40.644736,-74.077059,30001
S400038,40.645532,-74.077669,30002
S400038,40.645692,-74.077789,30003
S400038,40.645932,-74.077989,30004
S400038,40.646032,-74.078129,30005
S400038,40.646172,-74.078349,30006
S400038,40.646262,-74.078499,30007
S400038,40.646273,-74.078519,30008
S400038,40.646273,-74.078519,40001
S400038,40.646312,-74.078589,40002
S400038,40.646662,-74.079219,40003
S400038,40.646812,-74.079479,40004
S400038,40.647042,-74.079899,40005
S400038,40.647122,-74.080069,40006
S400038,40.647212,-74.080289,40007
S400038,40.647262,-74.080469,40008
S400038,40.647312,-74.080669,40009
S400038,40.647327,-74.080765,40010
S400038,40.647327,-74.080765,50001
S400038,40.647352,-74.080919,50002
S400038,40.647502,-74.081759,50003
S400038,40.647622,-74.082409,50004
S400038,40.647672,-74.082619,50005
S400038,40.647732,-74.082829,50006
S400038,40.648012,-74.083719,50007
S400038,40.648042,-74.083829,50008
S400038,40.648242,-74.084499,50009
S400038,40.648272,-74.084609,50010
S400038,40.648278,-74.084631,50011
S400038,40.648278,-74.084631,60001
S400038,40.648342,-74.084859,60002
S400038,40.648382,-74.085039,60003
S400038,40.648392,-74.085189,60004
S400038,40.648392,-74.085489,60005
S400038,40.648352,-74.085799,60006
S400038,40.648322,-74.085919,60007
S400038,40.648272,-74.086109,60008
S400038,40.648162,-74.086399,60009
S400038,40.647972,-74.086749,60010
S400038,40.647902,-74.086869,60011
S400038,40.647852,-74.086959,60012
S400038,40.647632,-74.087359,60013
S400038,40.647592,-74.087419,60014
S400038,40.647367,-74.087823,60015
S400038,40.647367,-74.087823,70001
S400038,40.647192,-74.088139,70002
S400038,40.646992,-74.088439,70003
S400038,40.646912,-74.088559,70004
S400038,40.646652,-74.088939,70005
S400038,40.646538,-74.089160,70006
S400038,40.646538,-74.089160,80001
S400038,40.646472,-74.089289,80002
S400038,40.646372,-74.089489,80003
S400038,40.646292,-74.089699,80004
S400038,40.646192,-74.090009,80005
S400038,40.646032,-74.090639,80006
S400038,40.645842,-74.091399,80007
S400038,40.645632,-74.092229,80008
S400038,40.645505,-74.092728,80009
S400038,40.645505,-74.092728,90001
S400038,40.645472,-74.092859,90002
S400038,40.645042,-74.094669,90003
S400038,40.644972,-74.094979,90004
S400038,40.644882,-74.095429,90005
S400038,40.644812,-74.095959,90006
S400038,40.644770,-74.096435,90007
S400038,40.644770,-74.096435,100001
S400038,40.644702,-74.097219,100002
S400038,40.644662,-74.098139,100003
S400038,40.644662,-74.098479,100004
S400038,40.644742,-74.099279,100005
S400038,40.644752,-74.099689,100006
S400038,40.644752,-74.100069,100007
S400038,40.644742,-74.100479,100008
S400038,40.644742,-74.100649,100009
S400038,40.644752,-74.100789,100010
S400038,40.644762,-74.100879,100011
S400038,40.644792,-74.101009,100012
S400038,40.644832,-74.101129,100013
S400038,40.644962,-74.101449,100014
S400038,40.645022,-74.101609,100015
S400038,40.645052,-74.101689,100016
S400038,40.645117,-74.101883,100017
S400038,40.645117,-74.101883,110001
S400038,40.645152,-74.101989,110002
S400038,40.645242,-74.102319,110003
S400038,40.645312,-74.102619,110004
S400038,40.645352,-74.102839,110005
S400038,40.645372,-74.103009,110006
S400038,40.645372,-74.103419,110007
S400038,40.645362,-74.103619,110008
S400038,40.645362,-74.103679,110009
S400038,40.645332,-74.104119,110010
S400038,40.645295,-74.104624,110011
S400038,40.645295,-74.104624,120001
S400038,40.645292,-74.104669,120002
S400038,40.645272,-74.105399,120003
S400038,40.645222,-74.107419,120004
S400038,40.645216,-74.107638,120005
S400038,40.645216,-74.107638,130001
S400038,40.645212,-74.107779,130002
S400038,40.645192,-74.108139,130003
S400038,40.645162,-74.108469,130004
S400038,40.645122,-74.108719,130005
S400038,40.644952,-74.109449,130006
S400038,40.644752,-74.110359,130007
S400038,40.644702,-74.110569,130008
S400038,40.644682,-74.110639,130009
S400038,40.644664,-74.110715,130010
S400038,40.644664,-74.110715,140001
S400038,40.644642,-74.110809,140002
S400038,40.644522,-74.111119,140003
S400038,40.644352,-74.111519,140004
S400038,40.644262,-74.111698,140005
S400038,40.644112,-74.111979,140006
S400038,40.643952,-74.112198,140007
S400038,40.643862,-74.112289,140008
S400038,40.643822,-74.112319,140009
S400038,40.643742,-74.112358,140010
S400038,40.643662,-74.112389,140011
S400038,40.643532,-74.112398,140012
S400038,40.643312,-74.112399,140013
S400038,40.643252,-74.112409,140014
S400038,40.643212,-74.112439,140015
S400038,40.643182,-74.112479,140016
S400038,40.643162,-74.112519,140017
S400038,40.643132,-74.112639,140018
S400038,40.643102,-74.112769,140019
S400038,40.643062,-74.113049,140020
S400038,40.643052,-74.113099,140021
S400038,40.643022,-74.113389,140022
S400038,40.642992,-74.113559,140023
S400038,40.642952,-74.113689,140024
S400038,40.642887,-74.113845,140025
S400038,40.642887,-74.113845,150001
S400038,40.642882,-74.113859,150002
S400038,40.642702,-74.114199,150003
S400038,40.642592,-74.114369,150004
S400038,40.642432,-74.114619,150005
S400038,40.642232,-74.114899,150006
S400038,40.642202,-74.114939,150007
S400038,40.642142,-74.115039,150008
S400038,40.641912,-74.115399,150009
S400038,40.641832,-74.115519,150010
S400038,40.641642,-74.115809,150011
S400038,40.641398,-74.116208,150012
S400038,40.641398,-74.116208,160001
S400038,40.641392,-74.116219,160002
S400038,40.641342,-74.116299,160003
S400038,40.641112,-74.116659,160004
S400038,40.641062,-74.116769,160005
S400038,40.641002,-74.116899,160006
S400038,40.640832,-74.117339,160007
S400038,40.640782,-74.117459,160008
S400038,40.640682,-74.117709,160009
S400038,40.640587,-74.117912,160010
S400038,40.640587,-74.117912,170001
S400038,40.640542,-74.118009,170002
S400038,40.640482,-74.118119,170003
S400038,40.640402,-74.118269,170004
S400038,40.640372,-74.118369,170005
S400038,40.640362,-74.118459,170006
S400038,40.640382,-74.118559,170007
S400038,40.640462,-74.118689,170008
S400038,40.640672,-74.118929,170009
S400038,40.640732,-74.119029,170010
S400038,40.640772,-74.119099,170011
S400038,40.640822,-74.119279,170012
S400038,40.640842,-74.119489,170013
S400038,40.640852,-74.119629,170014
S400038,40.640842,-74.119749,170015
S400038,40.640812,-74.119879,170016
S400038,40.640752,-74.120039,170017
S400038,40.640582,-74.120379,170018
S400038,40.640562,-74.120419,170019
S400038,40.640496,-74.120498,170020
S400038,40.640496,-74.120498,180001
S400038,40.640462,-74.120539,180002
S400038,40.640362,-74.120649,180003
S400038,40.640292,-74.120709,180004
S400038,40.640072,-74.120899,180005
S400038,40.639822,-74.121139,180006
S400038,40.639522,-74.121459,180007
S400038,40.639172,-74.121819,180008
S400038,40.638552,-74.122469,180009
S400038,40.638458,-74.122581,180010
S400038,40.638458,-74.122581,190001
S400038,40.638452,-74.122589,190002
S400038,40.638362,-74.122719,190003
S400038,40.638112,-74.123089,190004
S400038,40.638032,-74.123209,190005
S400038,40.638002,-74.123259,190006
S400038,40.637942,-74.123369,190007
S400038,40.637842,-74.123569,190008
S400038,40.637702,-74.123922,190009
S400038,40.637702,-74.123922,200001
S400038,40.637592,-74.124199,200002
S400038,40.637452,-74.124589,200003
S400038,40.637372,-74.124859,200004
S400038,40.637182,-74.125659,200005
S400038,40.637182,-74.126319,200006
S400038,40.637191,-74.126707,200007
S400038,40.637191,-74.126707,210001
S400038,40.637192,-74.126739,210002
S400038,40.637202,-74.126849,210003
S400038,40.637282,-74.127849,210004
S400038,40.637332,-74.128649,210005
S400038,40.637472,-74.128709,210006
S400038,40.637892,-74.128879,210007
S400038,40.638301,-74.128993,210008
S400038,40.638301,-74.128993,220001
S400038,40.638322,-74.128999,220002
S400038,40.638592,-74.129119,220003
S400038,40.638842,-74.129259,220004
S400038,40.639022,-74.129379,220005
S400038,40.639052,-74.129409,220006
S400038,40.639202,-74.129529,220007
S400038,40.639362,-74.129649,220008
S400038,40.639462,-74.129729,220009
S400038,40.639612,-74.129879,220010
S400038,40.639802,-74.130099,220011
S400038,40.640022,-74.130409,220012
S400038,40.640162,-74.130649,220013
S400038,40.640255,-74.130824,220014
S400038,40.640255,-74.130824,230001
S400038,40.640342,-74.130989,230002
S400038,40.640402,-74.131209,230003
S400038,40.640422,-74.131349,230004
S400038,40.640422,-74.131398,230005
S400038,40.640402,-74.131469,230006
S400038,40.640382,-74.131549,230007
